person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predictions,predictions_proba
22,59000,2,123.0,PERSONAL,3,35000,16.02,0.59,1,3,1,0.9999921005000022
21,9600,3,5.0,EDUCATION,1,1000,11.14,0.1,0,2,0,0.005756358818865427
25,9600,4,1.0,MEDICAL,2,5500,12.87,0.57,0,3,1,0.9999998256121045
23,65500,2,4.0,MEDICAL,2,35000,15.23,0.53,0,2,1,0.999992604136693
24,54400,2,8.0,MEDICAL,2,35000,14.27,0.55,1,4,1,0.9999985097316504
21,9900,3,2.0,VENTURE,0,2500,7.14,0.25,0,2,1,0.9971225582605601
26,77100,2,8.0,EDUCATION,1,35000,12.42,0.45,0,3,1,0.9999336374403893
24,78956,2,5.0,MEDICAL,1,35000,11.11,0.44,0,4,1,0.9989666412110099
24,83000,2,8.0,PERSONAL,0,35000,8.9,0.42,0,2,1,0.9995045626572518
21,10000,3,6.0,VENTURE,3,1600,14.74,0.16,0,3,1,0.9252639635530192
22,85000,2,6.0,VENTURE,1,35000,10.37,0.41,0,4,1,0.9973361877793562
21,10000,3,2.0,HOMEIMPROVEMENT,0,4500,8.63,0.45,0,2,1,0.9999985850241713
23,95000,2,2.0,VENTURE,0,35000,7.9,0.37,0,2,1,0.9875014523455474
26,108160,2,4.0,EDUCATION,4,35000,18.39,0.32,0,4,1,0.9999663193212522
23,115000,2,2.0,EDUCATION,0,35000,7.9,0.3,0,4,0,0.0005712101799422272
23,500000,4,7.0,DEBTCONSOLIDATION,1,30000,10.65,0.06,0,3,0,0.04119021874851925
23,120000,2,0.0,EDUCATION,0,35000,7.9,0.29,0,4,0,0.0014514892838740575
23,92111,2,7.0,MEDICAL,5,35000,20.25,0.32,0,4,1,0.9999981598045425
23,113000,2,8.0,DEBTCONSOLIDATION,3,35000,18.25,0.31,0,4,1,0.9999999066632141
24,10800,4,8.0,EDUCATION,1,1750,10.99,0.16,0,2,1,0.9998966229615962
